"name","text"
"Pohon Kenari","Gunung Merapi merupakan objek pendakian yang populer. karena gunung ini merupakan gunung yang sangat mempesona. Jalur pendakian yang paling umum dan dekat adalah melalui sisi utara dari Sélo, Kabupaten Boyolali, Jawa Tengah, tepatnya di Desa Plalangan, Selo, Boyolali, Desa ini terletak di antara Gunung Merapi dan Gunung Merbabu. Pendakian melalui Selo memakan waktu sekitar 4-5 jam hingga ke puncak.

Jalur populer lain adalah melalui Kaliurang, Kecamatan Pakem, Kabupaten Sleman, Yogyakarta di sisi selatan. Jalur ini lebih terjal dan memakan waktu sekitar 6-7 jam hingga ke puncak. Jalur alternatif yang lain adalah melalui sisi barat laut, dimulai dari Sawangan, Kabupaten Magelang, Jawa Tengah dan melalui sisi tenggara, dari arah Deles, Kecamatan Kemalang, Kabupaten Klaten, Jawa Tengah."
"HafidzJr7354","Gunungnya bagus
Apalagi viewnya kalau pas lagi jelas2nya"
"Mikhael Matthew Tjahyadi","This place was cold so remember to bring a jacket and has many historic places you could visit"
"Abbaqq","Gunung Merapi adalah salah satu gunung favorit bagi para pendaki pemula maupun lama, disini kita dapat sedikit bermanja dengan keindahan dan kegagahannya, tempat yg tepat untuk kabur dari rutinitas sehari-hari, yg mana sangat cocok untuk kalian yg ingin menghabiskan waktu libur dengan ngecamp/ camping, dengan jarak tempuh 2-3 jam dari basecamp (jalan santai) merapi menjadi gunung idaman yg selalu dikunjungi banyak pendaki.

Gunung Merapi (ketinggian puncak 2.930 m dpl, per 2010) adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004.

Gunung ini sangat berbahaya karena menurut catatan modern mengalami erupsi (puncak keaktifan) setiap dua sampai lima tahun sekali dan dikelilingi oleh permukiman yang sangat padat. Sejak tahun 1548, gunung ini sudah meletus sebanyak 68 kali.[butuh rujukan] Kota Magelang dan Kota Yogyakarta adalah kota besar terdekat, berjarak di bawah 30 km dari puncaknya. Di lerengnya masih terdapat permukiman sampai ketinggian 1700 m dan hanya berjarak empat kilometer dari puncak. Oleh karena tingkat kepentingannya ini, Merapi menjadi salah satu dari enam belas gunung api dunia yang termasuk dalam proyek Gunung Api Dekade Ini (Decade Volcanoes). (Wikipedia)"
"Nurdiana Ita","Gunung seribu bintang nih. Pas cuaca cerah kamu bisa menikmati bintang2 di pasar bubrah. Treking nya egk begitu terjal. Lumayan lah buat pemula. Hati2 pas kepuncaknya yaa. Soalnya berpasir. Dan harus memilih tajakan yg pas. Puncak rajawali is the best 😊"
"Frankestein Highmore","Gunung ini sangat berbahaya karena menurut catatan modern mengalami erupsi setiap dua sampai lima tahun sekali dan dikelilingi oleh permukiman yang sangat padat. Sejak tahun 1548, gunung ini sudah meletus sebanyak 68 kali. Kota Magelang dan Kota Yogyakarta adalah kota besar terdekat, berjarak kurang dari 30 km dari puncaknya. Di lerengnya masih terdapat permukiman sampai ketinggian 1700 mdpl dan hanya berjarak empat kilometer dari puncak."
"Anggara W. Prasetya (Anggarawepe)","Gunung Merapi adalah salah satu gunung api paling aktif di dunia yang berada di perbatasan Provinsi Daerah Istimewa Yogyakarta dan Provinsi Jawa Tengah. Meski sering aktif, Gunung Merapi selalu menjadi tujuan para pendaki."
"Kang Muz","Gunung berapi aktif yang terletak di perbatasan Jogja - Jateng ini menyimpan keindahan alam yang tiada tara. Semoga kondisi merapi segera membaik kembali"
"Michal Karol","One day trip. You can take a scooter from Yogyakarta in the morning, climb up and down and return for the evening meal... assuming you are quite fit and properly equipped."
"HARISUHUD","Seru skali keliling gunung pake jeep off road sewaan"
"Aziz Hafidz","Disarankan untuk pengguna angkutan umum, untuk sampai sana sebelum jam 5
Karena sudah jarang ada angkutan umum setelah jam 5"
"Hamaris Mudayat","Amazing volcano, one of the one active in Jawa island, we saw all destroyed  villages and housing after eruption years ago"
"Rahmad Marliyanto","track berpasir dari gunung merapi ini,beberapa kali terpeleset buat hiking ke puncak ,dan pada akhirnya bisa jg sampai di pos pasar bubrah,amazing,kalian harus coba buat kesini,#lovehiking"
"Melia Shani","Gagah banget dilihat dari jarak segini. Pengen muncak merapi lagi jadinya"
"BODAT KECE","Amazing. That's what i feel when saw Merapi volcano directly from close enough for the first time. The combination of grandeur, strength, and beauty is suitable to describe the mountain of Merapi."
"Vihaan Jain","Better to see from far away. The locality near it is a BIG tourist trap…"
"Suryo Gunanto","Salah satu gunung berapi teraktif diindonesia, jika erupsi dampaknya sangat berbahaya bagi penduduk yang berada dilereng gunung berapi,saat letusan terjadi ada fenomena alam yang sangat menakutkan dan sangat merusak lingkungan dan membinasakan yang dilewatinya yang dikenal dengan nama ""WEDUS GEMBEL"""
"Adhiex Phoenix","Selalu dan selalu pengen naik ke sini
Nggak ngebosenin
Pokoknya mantap"
"Melody","We went there at rain season(February 2018), it was really beautiful mountains/clouds/villages and unforgettable climbing experience, I will come back again definitely! There were a lot of local people even with kids, they were super friendly, shared rain cover with us and let us try their local tea and food.

But make sure you go at sunny day(blue sky and volcano visible from far). And it’s not dangerous, just take time, no need any guide, only one way go to the top. Prepare water and food, no shops all the way to the top.

No need entrance fee for foreigners, go directly to the Google map point: “New Selo”, and start go up to climb. Don’t stop at the blue house downstairs.

You can go there:
1. In one day, go as early as possible, it took us 3h to the bottom of crater. Going down took 3h, but we did it at night, can be faster.

2. In two days, go to top at night or middle of the day and camp there, next day see sunrise and go down.

Can call Grab or Uber at city, around 200,000 to go the start point “New Selo”. Local car there also offer service go back to the city."
"Anastasia Ella","Tempat buat ngecamp sangat bagus, pemandangannya juga sangat indah❤️🥰pencinta alam pasti suka ini👍"
"Eni Ratnawati","Awesome. Sudah beberapa Kali nge trip ke sini. Tetep aja Suka.. Aku sangat menikmatinya"
"Geizka Medina Rozal","Wah siapa yang mau datang kesini?

Tempatnya pliss deh ciptaan Tuhan itu memang indah banget ya...pertama kali datang ke Merapi tuh ga bisa berhenti melihat keindahannya.

Pengalaman yang saya rasakan ketika disana sangat menyenangkan, pluss membuat deg deg-an juga soalnya dari tempat parkir bus untuk menuju ke kawasan wisata nya tuh naik mobil Jeep terbuka gitu, dan jalannya tuh banyak sekali batu hehehe jadi lumayan lah deg deg-an. Hehehe :)

Oh iya bagi temen-temen yang ingin berkunjung ke Merapi jangan lupa pakai masker ya soalnya banyak debu.
Oh iya kalo bisa pake sepatu juga biar kaki nya ga lecet...

Bagi kalian yang berminat datang ke Merapi, siap siap mulai dari sekarang ya..."
"Agus Haryanto","Gunung paling cepat pendakian apalagi kalo lewat jalur evakuasi lebih cepat sampai pasar bubrah."
"Ella Raffa","terlihat jelas tadi pagi sekitar pukul 07.40 merapi mengeluarkan wedhus gembelnya. warga di sepanjang jalan memotret fenomena ini. dikabarkan pula terjadi hujan abu disekitaran lingkungan lereng gunung merapi. tetap waspada dan jangan panik. semoga semua baik2 saja"
"Aditama Nur Husein","Gunung Merapi (ketinggian puncak 2.930 mdpl, per 2010) (Jawa: ꦒꦸꦤꦸꦁ​ꦩꦼꦫꦥꦶ, translit. Gunung Mêrapi) adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004. Wikipedia"
"Irul Dwi","Saya alsinya suka di tempat ini tapi saya takut biasanya kan merapi kan meletus ya udah ya gitu si kalau teman aku sangat takut sekali kalau aku agak takut dikit alsinya kalau gunung itu berbahaya nya cuma meletus"
"Nur Ahmad","Gunung Merapi salah satu gunung yang sangat aktif & berbahaya di dunia. Dengan wedus gembel yang bisa membakar & meluluh lantakkan benda-2 yang dilewati, ataupun manusia. Letusan yang sangat dahsyat terjadi pada th. 2010 yang menyebabkan banyak korban jiwa & kerugian harta. Juru kunci yang legendaris yaitu Mbah Marijan juga menjadi korban pada letusan tersebut. Namun dibalik bahaya Merapi, ada satu sisi yaitu kesuburan & keindahan alamnya"
"Yohan Dwi Apriyanto","Merapi tak pernah ingkar janji.
Gunung Merapi merupakan salah satu gunung yang ada di DIY, tepatnya di Kabupaten Sleman Provinsi DIY. Gunung ini dapat ditempuh dengan waktu 35 menit dari Kota Yogyakarta. Bisa menggunakan kendaraan roda 4 ataupun roda 2. Anda bisa mendaki atau wisata alami melihat pepohonan dan erupsi letusan merapi. Ini sangat cocok untuk melepaskan penat sekaligus merasakan sejuknya udara di Gunung yang masih alami. Kesegaran akan menjadi milik anda. Selain itu batuan besar yang asli dan unik dapat anda jumpai di sana. Untuk menambah kenikmatan anda dapat bepergian dengan pasangan anda atau keluarga anda. Anda juga akan disuguhkan dengan pandangan dari ketinggian. Anda hanya akan menghabiskan kocek Rp. 15.000 untuk akomoodasi trakking
Selamat menikmati"
"Rere STA","Merapi via selo (trekking akhir Mei 2017) : jalurnya singkat tapi kerikil dan pasirnya bikin rawan terpleset. Tetap sebaiknya ikuti anjuran pendakian hanya sampai Pasar Bubrah, meskipun banyak sekali yg melanggar.  Tidak ada sumber air. (ini foto dari watugajah ya)"
"shinta dwi Pebriyani","Indah sekali walau dilihat dari kejauhan .. gunung merapi bisa keliatan dari dekat waru ng kopi klotok juga .. bisa foto foto dari kejauhan juga udah seneng .. salam kami dari bandung"
"Abiyyu Hilmy","Perjalan dipagi hari menuju gunung Merapi sangatlah asyik, menyusuri rimbunnya pepohonan dan perkebunan salak. ditambah suhu udara yang mendukung untuk menyejukan hati."
"willy wijaya","dulu sering berkunjung kesini karena jaraknya yang dekat dengan yogyakarta dan waktu pendakian yang singkat menjadikan gunung merapi salah satu favorit saya"
"Nila 123","Bagi saya gunung merapi adalah gunung yang berbahaya😋👊"
"Akmalia Fadillah","Via selo. Disetiap track menyuguhkan pemandangan nan indah. Saat mencapai puncak kita bisa liat ghnung merbabu di sebrangnya"
"Kristian Darmalia","Gunung yang amat cantik dan dingin, utamakan selalu sopan santun dan keselamatan di sini. Puncak adalah bonus, pulang ke rumah masing-masing dengan selamat adalah target"
"Yuni Saputra","Gunung Merapi adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia.

Lokasi gunung di sebelah barat kabupaten boyolali , untuk lokasi gunung bersebelahan dengan gunung merbabu"
"Phang Khai Siang","Awesome place to visit, easy for anybody without the need to climb. Beautiful view of the mountain peak."
"sjackozz","Cukup rindu untuk menikmati alam merapi. Merapi seperti hidup, ia bernafas. Pepohonan yang sedikit, mungkin terasa lebih dingin dibanding gunung lainnya. cukup terasa sekali aktivitasnya. Beberapa track bebatuan, kanan-kiri jurang. Terakhir kesini masih ingat sekali, cuaca sedang gerimis mesra. Merbabu pernah dinaiki dan jadj primadona. Terlihat jelas karena merapi merbabu hanya dibatasi jalan. Sayang hanya diperbolehkan untuk ndaki sampai pasar bubrah. Wonderfull Indonesia, masya allah."
"Diane Arifah","Merapi mountain is the most active vulcano in Java Island with height 2.913 masl. To hike this mountain, the track was tough with the ascent and rocky track. There's a camp ground that located right under the peak that called Pasar Bubrah. To get to Pasar Bubrah, that would take about 4 hours from the New Selo Basecamp. Pasar Bubrah it self is a field of rock, wherever you saw, it's only rock. And if want to built your tent here, make sure to built around the big rock to avoid the mountain wind.

Actually the safe limit to hike this mountain is Pasar Bubrah, because the way to the peak is so dangerous. The structure of rock in the way to the peak is not firm, that can caused rock-slide anytime. And the peak itself is just crater border. In other words, one step of your foot is the matter of life and death. If you want to visit this place, make sure to bring a masker cause the dust is totally no joke!"
"RY Channel","mendaki Gunung merapi bisa ditempuh dalam waktu sekitar 3-4jam dari Basecamp,enaknya naik tengah malem pukul 00.00 atau 01.00  biar sampe puncak/pasar bubrah pas sunrise"
"uus trisna farida","Fotonya asal jepret aja ....dulu di tahun 2011 nyomot dari fb cos folder lamanya gak tau nyangkut dimana ..."
"Ratih Widhiyandari","Gunung Merapi, trek nya mantap, tapi sekarang masih ditutup jalur pendakiannya karena terpantau aktiv. View nya sangat indah, megah. Semoga gunung Merapi lekas kondusif kembali."
"Muhamad Fahmi Fattahudin","Gunung Merapi adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah."
"Wijaya Kusuma","Mau ke sini lagi tapi kapan yah ke sini lagi melihat pemandangan gunung merapi mbah marijan"
"Agus Salim","Gunung Merapi..
Merupakan Gunung teraktif didunia, sebagai pusat penelitian para ahli-ahli, para pakar alam.
Gunung Merapi menyimpan banyak misteri, banyak sejarah yg tersembunyi didalam nya..
Salah satunya, sosok abdi dalem keraton jogjakarta, almarhum mbah Maridjan, dipercaya sebagai juru kunci(penjaga) gunung Merapi, meninggal dalam peristiwa Erupsi (Wedus Gembel) gunung Merapi................"
"Vika Saraswati","Di kenal dengan mistis dan letusan terdahsyat 2010, Merapi bukan gunung yang bersahabat, tak pernah alami badai hebat karena kesalahannya salah satu pendaki kita kena imbas hujan es"
"Rohman “Maestro Laser Cutting”","Aku adalah senja yang jatuh di pelukanmu..

ciat ciat ciat😁😁😁.. by anak senja
Bolehlah aku ikut ndaki? Yuk yuk.."
"kunzo borneo","Anda suka adventure? Ini salah satu yang wajib anda coba.. Merapi merupakan gunung paling aktif diindonesia... Tersedia penyewaan jeep bila ingin pertualangan yg lebih asik"
"Amalia DS","Gunung dengan pemandangan yang menakjubkan,  berangkat dan pulang disuguhi lautan awan yang luar biasa memesona (Alhamdulillah sepanjang perjalanan cuaca cerah, ini pendakian di bulan mei 2017)"
"Cerita Zew","Gunung Merapi adalah gunung yang terletak di Jawa tengah.. kita bisa melihat beberapa objek wisata yang menarik disana. Bagi temen temen yang suka baking disini adalah tempat yang sangat menarik untuk dikunjungi. So... Coba saja ke daerah ini mantep mantep lah. Cocok buat selfie cocok buat adventure kelas ringan sekali. Wkwkwkwk .. jadi ayo berlibur guys"
"Mas N TV","Gunung Metapi adalah salah saru gunung berapi aktif di Pulau Jawa. Gunung Merapi terletak di perbatasan Jawa Tengan dan Yogyakarta. Banyak cerita mistis yang beredar. Juru kunci Gunung Merapi adalah Mbah Marijan. Sakingcterkenalnya Mbah Marijan sampai dijadikan bibtang iklan di televisi. Slogan yang terkenal adlah ""Ruso ruso ruso!""
Gunung Merapi akan terlihat indah dan gagah dilihat dari kejauhan. Manfaat gunubg Merapi bagibwarga di sekitarbya sangat banyak sekali. Tanahnya subur, pasir dan sebagainya. Gunung Metapi yang indah. Jasamu akan selalu ada  untuk masyarakat sekitarmu
Gunung Merapi
Alangkah indahmu
Walau kadang menakutkan
Walau kadang menyeramkan
Kau akan selalu gagah dan indah"
"Maulana Al","Adegan jangan di tiru bisa berbahaya"
"Erwin Lajira","Tempat yg luar biasa,sangat memanjakan mata,otak,dan raga,"
"Yanuar Yoga Anggoro","Pertama kali saya ndaki gunung dan ini sudah ke 2 kalinya saya kesini"
"Rinto R","Saya bongkar kopling bagus barang nya enak d pakai"
"Cahyana Purnama","Kawasan Gunung Merapi di sekitar Kaliurang juga sangat bergantung pada aktivitas vulkanik yang kadang-kadang meningkat, sehingga warga masyarakat juga perlu selalu waspada. Selain ada bahaya letusan yang berkait dengan volume tumpukan lava maupun peluncuran lahar, ada juga kemungkinan terjadi hembusan awan panas yang seiring dengan keluarnya lahar. Hujan abu juga merupakan akibat lain yang muncul bersama semuanya itu"
"Sri Nuri Martuti","Posisi berada di Turgo...terlihat Merapi dan situasi sedikit mengeluarkan asap"
"ki senton","Pagi sampai siang telah berlalu tiba saatnya waktu senja tiba pemandangan di langit merapi di sore ini sungguh luar biasa"
"Anggoro Chochild","Tempat yang seru apabila kalian ingin sekalian memacu adrenalin saat menaiki mobil Jeep yang sudah tersedia untuk disewakan dengan biaya yang variatif sesuai dengan keinginan para pengunjung"
"Evelyn Foo","Simply magnificent!  Thank you @merapi.jeepjaya"
"Hendra Putra","Jalur pendakian aman via selo, trekking yg menanjak dan hampir tidak ada bonus, batas pendakian hanya sampai pasar bubrah."
"Tata Rianur","Di berita gunung merapi letusan freatik merapi asap keluar banyak😭😭😭😭😔😔😔 kita harus waspada 🙍🙍🙍ada dua gunung yaitu; gunung es/salju ❄❄❄ gunung berapi 🌋🌋🌋"
"Abee Sukarna","Merapi was very popular mount among the mountain climbers in Indonesia. Basecamp New Selo is the starting point that located in Boyolali Regency. New Selo can be reached about 2 hours from Yogyakarta. From here we only need about 3 hours to get Pasar Bubrah, the camp area before we reach the Merapi peak. But we were suggested to climb till Pasar Bubrah for safety."
"Kosta Khatulistiwa","Selalu membuat rindu keindahan puncak dan alam disekitarnya.
Untuk sumit bisa via selo, ada 4 pos"
"Srinivasa Lahiri Chavali","None of the jeep rides take you anywhere close to the crater. The crater is at least 3-4 hours hike from wherever the jeeps take you. However, the jeep ride takes you to some of the interesting places and good view of the volcano from the bottom. Do take a sunrise ride, if possible. Shortest jeep ride (90 minutes) costs you IDR 90,000."
"Fauzi Rasyid pratama (Oji)","The bestt abisss next saya akan kesana lagi 😊"
"BangRingo","Indah sekali....

Gunung Merapi (ketinggian puncak 2.930 mdpl, per 2010) (Hanacaraka:ꦒꦸꦤꦸꦁ​ꦩꦼꦫꦥꦶ) adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004.

Gunung ini memiliki potensi kebencanaan yang tinggi karena menurut catatan modern mengalami erupsi setiap dua sampai lima tahun sekali dan dikelilingi oleh permukiman yang padat. Sejak tahun 1548, gunung ini sudah meletus sebanyak 68 kali.[butuh rujukan] Kota Magelang dan Kota Yogyakarta adalah kota besar terdekat, berjarak kurang dari 30 km dari puncaknya. Di lerengnya masih terdapat permukiman sampai ketinggian 1.700 meter dan hanya berjarak empat kilometer dari puncak. Oleh karena tingkat kepentingannya ini, Merapi menjadi salah satu dari enam belas gunung api dunia yang termasuk dalam proyek Gunung Api Dekade Ini (Decade Volcanoes).[1]"
"susanti hidayati","Gunung api yg teraktif tp selalu jadi tempat pendakian yg favorit"
"Sri Oktarina","Gunung paling gereget yg gw naikin, disini jalurnya cuma 1 via selo klo lu punya libur 1 minggu aja sekalian aja mampir ke merbabu mereka sebelahan loh is my fav montain."
"Ardhyr Channel","Mount Merapi is one of the most active volcano in the world. This volcano is located in the border of Central Java and Special Regions of Yogyakarta. This volcano's elevation is 2930 meter above sea level.

We can hike this mountain from Selo, Boyolali. Average hiking time from basecamp to Pasar Bubrah is 4-6 hours. Along the track, is full of dust and volcanic material, so you have to wear the mask.

For now, hikers are not allowed to reach the top/peak. Because it's dangerous due to increasing activity of the volcano."
"Roy Yudhis","Tempat Indah dan keren,  tur naik mobil jeep, banyak paket tur adventure"
"Ayep Hidayatullah","Gunung yang sangat gagah bila dilihat dari merbabu. Sayang nya blm bisa dibuka utk pendakian karena sering erupsi :("
"sakura group","Had a short excursion to visit the village destroyed by the volcanic eruption at Mount Merapi.

The destruction was devastating."
"NUR KHOLIS","pemandangan yang super keren....
harus ekstra hati‐hati."
"Riza SD","Di puncak gunung kalau matahari terbenam bagus banget itu kalau di lihat"
"Rimoo Dom","Tempat bersejarah bagi warga Indonesia,  dikarenakan letusan yang sangat dahsyat yang susah dilupakan"
"Hilda Syarofa","Tempat yang harus di kunjungi kalau ke jogja."
"Andre Fahrezi Kusuma","great place for refreshing at yogyakarta.
its wind so cool and natural"
"Hafsyah Assillah 沐吉帆","Bukan hanya untuk bersenang-senang, disini anda juga dapat melihat dan merasakan momen saat gunung merapi meletus, banyak momen yang diabadikan dan dipajangkan disini. Sangat membantu untuk mengetahui sejarah di negera kita sendiri"
"Diah Astuti S R","Gunung dengan Pemandangan yang sangat keren. Berjejer dengan Gunung Merbabu."
"Misbach","Bagus sekali,apalagi dtempuh dengan Jeep"
"Hayun Sunyatin","Kalo udh crita gunung merapi ini ,,byk crita yg bikin mau balik lagi ,,dgn segudang pemandangan yg indah ,,mau ny balik lg aja"
"Rheevarinda","Gunung dengan jalur trekking yang mengesankan terbayar dengan pemandangan sunset dan sunrise yang indah ! Siapkan fisik dan mental sebelum mendaki gunung ini."
"Dwi Ka","Tempat pertama kali tuhan memperkenalkanku dengan alam 😍"
"Aziz Agus Nugroho","Ada banyak track kalo yg di foto ini dari newselo"
"Rika Setyowulan","Salah satu gunung berapi yang masih aktif di Indonesia. Keberadaannya menjadi sisi historis yang tidak bisa dipisahkan dari kota Yogyakarta. Ada beberapa objek wisata yang ditawarkan di area ini seperti tur menggunakan jip dll"
"Nedumaran Elangovan","Long journey. But finally managed to throw that weird ring in the volcano. Extra large eagles landed around the area.

Pro: Nice views.
Cons: Small local man wanted my ring for himself."
"Martin Tube","Diambil dari desa ndeles , saat status siaga"
"Dede Tisno","Merapi yang gagah. Jika cerah selalu terlihat ketika pergi ke kampus. sangat Indah. Gunung Merapi sendiri merupakan salah satu gunung yang paling aktif di dunia."
"Agung Sofyan Darmadi","Ada yg suka mendaki merapi via sapuangin klaten?"
"Fadhilah Nur Rohmah","Kondisi merapi dilihat dari rumahku radius 7km, aman tapi tetap waspada."
"MAysaroh May","Benar ini gunung Merapi ya lebih tinggi dari awan keliatan nya dari foto pemanDangan nya bagus banget saya sangat suka andai kan saya orang sana pasti saya selalu melihat nya tapi tidak papa asal kan saya sudah melihatnya👍"
"Mutiara_ Said","Merapi memiliki kisah tersendiri yg kita tidak akan pernah mengerti, merapi adalah tuan rumah."
"Arkananta Fausta","Selalu gagah dan menawan dari sudut manapun"
"Shalahuddin Umar","Beberapa bulan setelah erupsi Risco dkk ke gunung tanam pohon"
"Febriansyah","Gunung yang berada di antara Provinsi Jawa Tengah dan Yogyakarta."
"Syafrianto Limpur","Gunung yg terletak antara jogya dan jawa tengah ini sangat bagus utk mengisi liburan keluarga anda."
"Yantosutri Bin Suwarto Samsuri","Letusan 1 Juni 2018 dan 11 Mei 2018"
"vous","belum pernah ke merapi tapi tiap lagi cerah cuacanya bisa liat dari kamar kos😭"
"Kang Eman 33","Sangat seru dengan permainan motor jip nya"
"Juan Sayyid akbar","Erupsi Level III Lumayan Mengerikan"
"Journey Indonesia","Gunung Api paling aktif di dunia, yang dilindungi dengan banyak budaya dan mitos"
"Jayadi -","Indah sekaligus penuh misteri, selalu pengin kembali traveling ke merapi lagi"
"mawaddah alfiani","The super volcano🌋 Merapi tak pernah ingkar janji"
"An Kabut Prasetyo (Kaboet)","Dari sekian gunung berapi yang masih aktif di pulau Jawa.
________________________"
"RIYADOS SOLICHIN","Gunung yang indah, gunung berapi yang aktif, banyak memberi manfaat tapi ada aisi ancaman yang harus disiagakan"
"LARAS ae MAHENDRA","Asyikkk dan sempetin foto d tebing jurang ini"
"Gaizka Kevala","Tempat uanh cocok bagi pecinta alam"
"CAHAYA DIGITAL TEMANGGUNG","Gunung yang sangat menantang adrenaline ...  xtream"
"Muhammad Aldino","Saya sedikit lupa sama perjalanan di Gunung Merapi, cuma ingat di museumnya. Tapi seingat saya cukup puas sama perjalanannya"
"Yudi","Puncak Garuda, Puncak Menawan"
"Tiar M","Gunung merapi dan pesonanya."
"Tri Hastuti","Pemandangan sangat bagus"
"Marion et Gauthier","Great place, the Merapi smoked it was impressive"
"Ilham Fonna","Gunung Merapi merupakan salah satu berapi aktif yang pernah meledak dan mengeluarkan magma dan asap panah serta lahar dingin."
"Mamad Bond","Foto November 2008, pasca erupsi, sebelum Mbah Marijan wafat."
"Om Budi","Hari Jumat lalu sempat batuk tgl 11 Mei 2018 mengeluarkan abu vulkanik dan gempa ..
."
"indra Vrooh","Wisata sejarah Gunung Merapi Fun jeep Adventure"
"Angga Setiawan","Pemandangan nya bagus dengan background Gunung Merbabu 😎"
"World of Mohin","Known for Volcano eruption. These photos were recently captured during Volcano eruption."
"Yessi Widi","Climbed it once maybe 12 years ago and an every day view of my childhood life.
This view is from an aeroplane I took last Easter off."
"Collin K.","Took a jeep up there but sadly there wasn't a very big view, wasn't worth it, but the story of the volcano is nice"
"No Fa","Gunung yang membuat saya sadar betapa pentingnya berolahraga 😁😁"
"Mustafa Haidar","Kalo menurut saya ini bagus tapi saat erupsi perlu diwaspadai karena mungkin mengeluarkan lava , magma, dan batu panas"
"Channel Azril","Gunung merapi erupsi kembali pada tanggal 1 juni 5018 pukul 08.22 wib"
"Imsi Sara","Fav mountain
Udah 4 kali kesini 💕"
"Irfan Nurfajrin","keren, yang mau tanya2 silahkan.."
"Agus Santosa","3 km dr puncak merapi"
"JxKwr105","Merapi tak pernah ingkar janji...
#JanganKotoriMerapi #BawaKembaliSampahmu😄🙏"
"Siti Nurhalisa","Pernah mendaki gunung paling aktif ini"
"Bryan R","Merapi view form distance"
"Pipih Shopiah","Of road di gunung merapi lumayan  tantangan sambil liat dahsyat nya letusan merapi"
"Muhammad Zaenal","Gila bener nih tempat mantaapp"
"trevor christinsen","Wonderfull place,but it cost 350K-500K (if use Jeep)from Merapi Park"
"Bramantya Mahendra Agus","You can enjoy the top of Merapi in the Boyolali - Borobudur road"
"Afik Debi Hadiyanto","Dari gardu pandang Selo ke lembah Pasar Bubrah butuh waktu 4-5 jam dengan jalur menanjak. Air sulit diperoleh di sini. Tidak begitu banyak hutan, lebih banyak tanaman semak. Dari Pasar Bubrah ke puncak Kubah merapi masih perlu 1 jam lagi dengan medan pasir, kerikil batuan sedang dan besar. Sebaiknya mendaki kubah (jika boleh) dilakukan saat pagi hari. Karena sangat beresiko bila malam hari. Sering kali terjadi guguran batu yang bisa menimpa pendaki. Kalau malam hari jelas batu itu tidak akan terlihat. Belum lagi bahaya semburan gas belerang yang bisa sewaktu-waktu keluar dari celah batuan."
"Iip Suprayogi","Indahnya rasa panas ketika sedang eruksi"
"PESONA JEJAK WISATA","Gunung yg cantik utk di kunjungi
Liburan bersama keluarga atau teman"
"Sihima Endah","Favorit bgt... Trek yg tdk trlalu panjang. Pemandangan bagus bgt.."
